"OBJECTID","ICNUM","CPNM","IDC","CROPNAME","BIO_E","HVSTI","BLAI","FRGRW1","LAIMX1","FRGRW2","LAIMX2","DLAI","CHTMX","RDMX","T_OPT","T_BASE","CNYLD","CPYLD","BN1","BN2","BN3","BP1","BP2","BP3","WSYF","USLE_C","GSI","VPDFR","FRGMAX","WAVP","CO2HI","BIOEHI","RSDCO_PL","OV_N","CN2A","CN2B","CN2C","CN2D","FERTFIELD","ALAI_MIN","BIO_LEAF","MAT_YRS","BMX_TREES","EXT_COEF","BM_DIEOFF"
73,73.00,"ONIO",5.00,"Onion",30.00,1.25,1.50,.15,.01,.50,.95,.60,.50,.60,19.00,7.00,.02,3.2e-03,.04,.03,2.0e-03,2.1e-03,2.0e-03,1.9e-03,.95,.20,6.0e-03,4.00,.75,10.00,660.00,35.00,.05,.14,67.00,77.00,83.00,87.00,1.00,.00,.00,.00,.00,.65,.10
74,74.00,"SUNF",4.00,"Sunflower",46.00,.30,3.00,.15,.01,.50,.95,.62,2.50,2.00,25.00,6.00,.04,7.4e-03,.05,.02,.01,6.3e-03,2.9e-03,2.3e-03,.18,.20,8.0e-03,4.00,.75,32.30,660.00,59.00,.05,.14,67.00,77.00,83.00,87.00,1.00,.00,.00,.00,.00,.90,.10
75,75.00,"CANP",4.00,"Spring Canola-Polish",34.00,.23,3.50,.15,.02,.45,.95,.50,.90,.90,21.00,5.00,.03,7.9e-03,.04,.01,.01,7.4e-03,3.7e-03,2.3e-03,.01,.20,6.0e-03,4.00,.75,10.00,660.00,39.00,.05,.14,67.00,77.00,83.00,87.00,1.00,.00,.00,.00,.00,.65,.10
76,76.00,"CANA",4.00,"Spring Canola-Argentine",34.00,.30,4.50,.15,.02,.45,.95,.50,1.30,1.40,21.00,5.00,.03,7.9e-03,.04,.01,.01,7.4e-03,3.7e-03,2.3e-03,.01,.20,6.0e-03,4.00,.75,10.00,660.00,40.00,.05,.14,67.00,77.00,83.00,87.00,1.00,.00,.00,.00,.00,.65,.10
77,77.00,"ASPR",6.00,"Asparagus",90.00,.80,4.20,.25,.23,.40,.86,1.00,.50,2.00,24.00,10.00,.06,6.7e-03,.06,.05,.04,5.0e-03,4.0e-03,2.0e-03,.95,.20,6.0e-03,4.00,.75,5.00,660.00,95.00,.05,.30,63.00,74.00,82.00,85.00,1.00,.00,.00,.00,.00,.65,.10
78,78.00,"BROC",5.00,"Broccoli",26.00,.80,4.20,.25,.23,.40,.86,1.00,.50,.60,18.00,4.00,.05,7.1e-03,.06,9.0e-03,7.0e-03,5.0e-03,4.0e-03,3.0e-03,.95,.20,6.0e-03,4.00,.75,5.00,660.00,30.00,.05,.16,67.00,77.00,83.00,87.00,1.00,.00,.00,.00,.00,.65,.10
79,79.00,"CABG",6.00,"Cabbage",19.00,.80,3.00,.25,.23,.40,.86,1.00,.50,.60,18.00,1.00,.02,3.1e-03,.06,7.0e-03,4.0e-03,5.0e-03,3.5e-03,2.0e-03,.95,.20,6.0e-03,4.00,.75,5.00,660.00,25.00,.05,.14,67.00,77.00,83.00,87.00,1.00,.00,.00,.00,.00,.65,.10
80,80.00,"CAUF",5.00,"Cauliflower",21.00,.80,2.50,.25,.23,.40,.86,1.00,.50,.60,18.00,5.00,.04,5.9e-03,.06,7.0e-03,4.0e-03,5.0e-03,3.5e-03,2.0e-03,.95,.20,6.0e-03,4.00,.75,5.00,660.00,25.00,.05,.14,67.00,77.00,83.00,87.00,1.00,.00,.00,.00,.00,.65,.10
81,81.00,"CELR",6.00,"Celery",27.00,.80,2.50,.25,.23,.40,.86,1.00,.50,.60,22.00,4.00,.01,4.9e-03,.06,.01,.01,6.0e-03,5.0e-03,3.0e-03,.95,.20,6.0e-03,4.00,.75,5.00,660.00,30.00,.05,.14,67.00,77.00,83.00,87.00,1.00,.00,.00,.00,.00,.65,.10
82,82.00,"LETT",5.00,"Head Lettuce",23.00,.80,4.20,.25,.23,.40,.86,1.00,.20,.60,18.00,7.00,.03,4.9e-03,.03,.02,.02,8.4e-03,3.2e-03,1.9e-03,.01,.01,3.0e-03,4.00,.75,8.00,660.00,25.00,.05,.14,67.00,77.00,83.00,87.00,1.00,.00,.00,.00,.00,.65,.10
83,83.00,"SPIN",5.00,"Spinach",30.00,.95,4.20,.10,.05,.90,.95,.95,.50,.60,24.00,4.00,.05,5.8e-03,.06,.04,.03,5.0e-03,4.0e-03,3.5e-03,.95,.20,6.0e-03,4.00,.75,5.00,660.00,35.00,.05,.14,67.00,77.00,83.00,87.00,1.00,.00,.00,.00,.00,.65,.10
84,84.00,"GRBN",1.00,"Green Beans",25.00,.10,1.50,.10,.05,.80,.95,.90,.60,1.20,19.00,10.00,.02,3.9e-03,4.0e-03,3.0e-03,1.5e-03,4.0e-03,3.5e-03,1.5e-03,.10,.20,8.0e-03,4.00,.75,5.00,660.00,34.00,.05,.14,67.00,77.00,83.00,87.00,1.00,.00,.00,.00,.00,.65,.10
85,85.00,"CUCM",4.00,"Cucumber",30.00,.27,1.50,.15,.05,.50,.95,.60,.50,1.20,32.00,16.00,.02,4.3e-03,.06,7.5e-03,4.8e-03,5.3e-03,2.5e-03,1.2e-03,.25,.03,3.0e-03,4.00,.75,8.00,660.00,39.00,.05,.14,67.00,77.00,83.00,87.00,1.00,.00,.00,.00,.00,.65,.10
86,86.00,"EGGP",4.00,"Eggplant",30.00,.59,3.00,.15,.05,.50,.95,.60,.50,1.20,26.00,15.00,.02,4.1e-03,.06,.02,7.5e-03,5.3e-03,2.0e-03,1.5e-03,.25,.03,6.0e-03,4.00,.75,8.00,660.00,39.00,.05,.14,67.00,77.00,83.00,87.00,1.00,.00,.00,.00,.00,.65,.10
87,87.00,"CANT",4.00,"Cantaloupe",30.00,.50,3.00,.15,.05,.50,.95,.60,.50,1.20,35.00,15.00,.01,1.7e-03,.06,.02,.01,5.3e-03,2.0e-03,1.2e-03,.25,.03,6.0e-03,4.00,.75,3.00,660.00,39.00,.05,.14,67.00,77.00,83.00,87.00,1.00,.00,.00,.00,.00,.65,.10
88,88.00,"HMEL",4.00,"Honeydew Melon",30.00,.55,4.00,.15,.05,.50,.95,.60,.50,1.20,35.00,16.00,7.1e-03,1.0e-03,7.0e-03,4.0e-03,2.0e-03,2.6e-03,2.0e-03,1.7e-03,.25,.03,6.0e-03,4.00,.75,3.00,660.00,39.00,.05,.14,67.00,77.00,83.00,87.00,1.00,.00,.00,.00,.00,.65,.10
89,89.00,"WMEL",4.00,"Watermelon",30.00,.50,1.50,.15,.05,.50,.95,.60,.50,2.00,35.00,18.00,.01,1.1e-03,.06,7.5e-03,4.8e-03,5.3e-03,2.5e-03,1.2e-03,.25,.03,6.0e-03,4.00,.75,3.00,660.00,39.00,.05,.14,67.00,77.00,83.00,87.00,1.00,.00,.00,.00,.00,.65,.10
90,90.00,"PEPR",4.00,"Bell Pepper",30.00,.60,5.00,.15,.05,.50,.95,.60,.50,1.20,27.00,18.00,.01,3.0e-03,.06,.03,.02,5.3e-03,2.0e-03,1.2e-03,.25,.03,5.0e-03,4.00,.75,8.00,660.00,39.00,.05,.14,67.00,77.00,83.00,87.00,1.00,.00,.00,.00,.00,.65,.10
91,91.00,"STRW",6.00,"Strawberry",30.00,.45,3.00,.15,.05,.50,.95,.60,.50,.60,32.00,10.00,.01,2.3e-03,.06,.02,.01,5.3e-03,2.0e-03,1.2e-03,.25,.03,6.0e-03,4.00,.75,8.00,660.00,39.00,.05,.14,67.00,77.00,83.00,87.00,1.00,.00,.00,.00,.00,.65,.10
92,92.00,"TOMA",4.00,"Tomato",30.00,.33,3.00,.15,.05,.50,.95,.95,.50,2.00,22.00,10.00,.02,4.8e-03,.06,.03,.02,5.3e-03,3.5e-03,2.5e-03,.15,.03,8.0e-03,4.00,.75,8.00,660.00,39.00,.05,.14,67.00,77.00,83.00,87.00,1.00,.00,.00,.00,.00,.65,.10
93,93.00,"APPL",7.00,"Apple",15.00,.10,4.00,.10,.15,.50,.75,.99,3.50,2.00,20.00,7.00,1.9e-03,4.0e-04,6.0e-03,2.0e-03,1.5e-03,7.0e-04,4.0e-04,3.0e-04,.05,1.0e-03,7.0e-03,4.00,.75,3.00,660.00,20.00,.05,.14,45.00,66.00,77.00,83.00,.00,.75,.30,10.00,500.00,.65,.10
94,94.00,"PINE",7.00,"Pine",15.00,.76,5.00,.15,.70,.25,.99,.99,10.00,3.50,30.00,.00,1.5e-03,3.0e-04,6.0e-03,2.0e-03,1.5e-03,7.0e-04,4.0e-04,3.0e-04,.60,1.0e-03,2.0e-03,4.00,.75,8.00,660.00,16.00,.05,.14,25.00,55.00,70.00,77.00,.00,.75,.30,50.00,1000.00,.65,.10
95,95.00,"OAK",7.00,"Oak",15.00,.76,5.00,.05,.05,.40,.95,.99,6.00,3.50,30.00,10.00,1.5e-03,3.0e-04,6.0e-03,2.0e-03,1.5e-03,7.0e-04,4.0e-04,3.0e-04,.01,1.0e-03,2.0e-03,4.00,.75,8.00,660.00,16.00,.05,.14,45.00,66.00,77.00,83.00,.00,.75,.30,50.00,1000.00,.65,.10
96,96.00,"POPL",7.00,"Poplar",30.00,.76,5.00,.05,.05,.40,.95,.99,7.50,3.50,30.00,10.00,1.5e-03,3.0e-04,6.0e-03,2.0e-03,1.5e-03,7.0e-04,4.0e-04,3.0e-04,.01,1.0e-03,4.0e-03,4.00,.75,8.00,660.00,31.00,.05,.14,45.00,66.00,77.00,83.00,.00,.75,.30,10.00,200.00,.45,.10
97,97.00,"MESQ",7.00,"Honey Mesquite",16.10,.05,1.25,.05,.05,.40,.95,.99,6.00,3.50,30.00,10.00,1.5e-03,3.0e-04,.02,.01,8.0e-03,7.0e-04,4.0e-04,3.0e-04,.01,1.0e-03,4.0e-03,4.00,.75,8.00,660.00,18.00,.05,.14,45.00,66.00,77.00,83.00,.00,.75,.30,10.00,50.00,.61,.10
98,98.00,"GRAP",7.00,"Vineyard",30.00,.02,2.00,.05,.01,.50,.95,.90,2.00,2.00,30.00,10.00,.02,2.5e-03,.01,4.0e-03,3.0e-03,1.4e-03,8.0e-04,6.0e-04,.01,.10,5.0e-03,1.10,.75,8.00,660.00,40.00,.05,.14,45.00,66.00,77.00,83.00,.00,.01,.30,2.00,1.00,.65,.10
99,99.00,"WBAR",5.00,"Winter Barley",30.00,.54,4.00,.05,.05,.45,.95,.90,.90,1.30,18.00,.00,.02,2.2e-03,.06,.02,.01,5.3e-03,2.0e-03,1.2e-03,.20,.03,5.6e-03,4.00,.75,6.00,660.00,39.00,.05,.14,62.00,73.00,81.00,84.00,1.00,.00,.00,.00,.00,.65,.10
100,100.00,"OILP",7.00,"Oil Palm",12.00,.18,5.00,.10,.15,.50,.75,.99,3.50,2.00,20.00,7.00,1.9e-03,4.0e-04,6.0e-03,2.0e-03,1.5e-03,7.0e-04,4.0e-04,3.0e-04,.05,1.0e-03,7.1e-03,4.00,.75,3.00,660.00,20.00,.05,.14,45.00,66.00,77.00,83.00,.00,.75,.30,10.00,500.00,.65,.10
101,101.00,"RUBR",7.00,"Rubber Trees",5.60,.90,2.60,.10,.15,.50,.75,.99,3.50,2.00,20.00,7.00,1.9e-03,4.0e-04,6.0e-03,2.0e-03,1.5e-03,7.0e-04,4.0e-04,3.0e-04,.05,1.0e-03,7.1e-03,4.00,.75,3.00,660.00,20.00,.05,.14,45.00,66.00,77.00,83.00,.00,.75,.30,10.00,500.00,.65,.10
102,102.00,"BANA",7.00,"Bananas",30.00,.44,4.50,.05,.05,.40,.95,.99,7.50,3.50,30.00,10.00,6.4e-03,8.0e-04,.06,.03,.01,3.0e-03,2.0e-03,1.0e-03,.01,1.0e-03,3.6e-03,4.00,.75,8.00,660.00,31.00,.05,.14,45.00,66.00,77.00,83.00,.00,.75,.30,10.00,200.00,.45,.10
103,103.00,"TEFF",5.00,"Eragrostis Teff",35.00,.23,3.00,.15,.05,.50,.95,.90,.90,2.00,18.00,.00,.02,3.3e-03,.06,.02,.01,8.4e-03,3.2e-03,1.9e-03,.20,.03,5.6e-03,4.00,.75,8.00,660.00,46.00,.05,.14,62.00,73.00,81.00,84.00,1.00,.00,.00,.00,.00,.65,.10
104,104.00,"COFF",7.00,"Coffee",10.00,.15,1.35,.05,.05,.40,.95,.99,2.00,2.00,30.00,10.00,1.5e-03,3.0e-04,.02,.01,8.0e-03,7.0e-04,4.0e-04,3.0e-04,.01,1.0e-03,3.6e-03,4.00,.75,8.00,660.00,18.00,.05,.14,45.00,66.00,77.00,83.00,.00,.75,.30,10.00,50.00,.61,.10
105,105.00,"PTBN",1.00,"Pinto Beans",25.00,.30,1.50,.15,.05,.50,.95,.90,.80,1.70,25.00,10.00,.06,9.1e-03,.05,.02,.02,7.4e-03,3.7e-03,3.5e-03,.01,.20,7.1e-03,4.00,.75,8.00,660.00,34.00,.05,.14,67.00,78.00,85.00,89.00,.00,.00,.00,.00,.00,.45,.10
106,106.00,"ALMD",7.00,"Almonds",16.10,.05,1.20,.05,.05,.40,.95,.99,6.00,3.50,30.00,10.00,1.5e-03,3.0e-04,.02,.01,8.0e-03,7.0e-04,4.0e-04,3.0e-04,.01,1.0e-03,3.6e-03,4.00,.75,8.00,660.00,18.00,.05,.14,45.00,66.00,77.00,83.00,.00,.75,.30,10.00,50.00,.61,.10
107,107.00,"GRAR",7.00,"Grarigue",16.10,.05,2.00,.05,.05,.40,.95,.99,6.00,3.50,30.00,10.00,1.5e-03,3.0e-04,.02,.01,8.0e-03,7.0e-04,4.0e-04,3.0e-04,.01,1.0e-03,3.6e-03,4.00,.75,8.00,660.00,18.00,.05,.14,39.00,61.00,74.00,80.00,.00,.75,.30,10.00,50.00,.61,.10
108,108.00,"OLIV",7.00,"Olives",16.10,.05,.80,.05,.05,.40,.95,.99,6.00,3.50,30.00,10.00,1.5e-03,3.0e-04,.02,.01,8.0e-03,7.0e-04,4.0e-04,3.0e-04,.01,1.0e-03,3.6e-03,4.00,.75,8.00,660.00,18.00,.05,.14,45.00,66.00,77.00,83.00,.00,.75,.30,10.00,50.00,.61,.10
109,109.00,"ORAN",7.00,"Orange",15.00,.14,2.00,.10,.15,.50,.75,.99,3.50,2.00,20.00,7.00,1.9e-03,4.0e-04,6.0e-03,2.0e-03,1.5e-03,7.0e-04,4.0e-04,3.0e-04,.09,1.0e-03,5.0e-03,4.00,3.00,3.00,660.00,20.00,.05,.15,45.00,66.00,77.00,83.00,1.00,.01,.30,10.00,30.00,.65,.10
110,110.00,"SEPT",6.00,"Septic Area",35.00,.90,4.00,.05,.05,.49,.95,.99,.50,2.00,25.00,12.00,.02,3.3e-03,.06,.02,.01,8.4e-03,3.2e-03,1.9e-03,.90,3.0e-03,5.0e-03,4.00,.75,10.00,660.00,36.00,.05,.10,31.00,59.00,72.00,79.00,.00,.00,.00,.00,.00,1.00,.10
